idh,idp,y,x,top,bot,cec,oc,w_hue,w_value,w_chroma,d_hue,d_value,d_chroma,bsat
915,475,-34.21957,-61.25133,10,16,10.7,0.66,10YR,3,2,NA,NA,NA,100
916,475,-34.21957,-61.25133,16,34,25.5,0.32,7.5YR,3.5,2,NA,NA,NA,100
918,476,-34.13474,-60.99591,0,13,18.1,1.77,10YR,3,2,NA,NA,NA,88.3977900552486
919,476,-34.13474,-60.99591,13,28,18.4,1.77,10YR,3,1,NA,NA,NA,90.2173913043479
926,477,-34.02469,-60.80331,0,23,23.2,2.15,10YR,3,2,NA,NA,NA,74.5689655172414
927,477,-34.02469,-60.80331,23,33,17.7,1.03,10YR,3,3,NA,NA,NA,79.6610169491525
933,478,-34.00369,-60.88255,0,12,24.7,2.61,10YR,3,1,NA,NA,NA,81.3765182186235
934,478,-34.00369,-60.88255,12,26,20.9,1.62,10YR,3,3,NA,NA,NA,84.2105263157895
940,479,-34.07749,-60.91554,0,13,22.8,2.32,10YR,2,1,NA,NA,NA,89.4736842105263
941,479,-34.07749,-60.91554,13,32,19.2,1.55,10YR,3,1,NA,NA,NA,88.0208333333333
947,480,-34.05996,-60.92034,0,14,24,2.12,10YR,3,1,NA,NA,NA,90
948,480,-34.05996,-60.92034,14,29,22.7,1.66,10YR,2,2,NA,NA,NA,86.784140969163
953,481,-34.04764,-60.77652,0,14,25.6,2.88,10YR,2,2,NA,NA,NA,73.4375
954,481,-34.04764,-60.77652,14,29,20.4,1.37,10YR,3,1,NA,NA,NA,83.3333333333333
960,482,-34.01389,-60.83611,0,20,20.9,1.91,10YR,3,1,NA,NA,NA,85.6459330143541
961,482,-34.01389,-60.83611,20,29,18.4,1.47,10YR,3,1.5,NA,NA,NA,89.1304347826087
968,483,-34.144,-60.60356,0,17,22.9,2.12,10YR,3,2,NA,NA,NA,91.703056768559
969,483,-34.144,-60.60356,17,30,21.4,1.78,10YR,2,1,NA,NA,NA,92.5233644859813
1007,485,-34.04938,-60.5844,0,22,27.4,2.45,10YR,2,1,NA,NA,NA,86.8613138686131
